academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,source_file,source_page,needs_review,review_reason
2024-25,FE,03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi(Jain),Un-Aided  Linguistic Minority - Gujarathi(Jain),true,120,0314890010,Electronics and Computer Science,120,50,61,9,0,0,0,0314890011,6,FE_2024_SeatMatrix.pdf,91,false,
2024-25,FE,03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi(Jain),Un-Aided  Linguistic Minority - Gujarathi(Jain),true,60,0314893310,Electronics and Communication (Advanced,60,25,31,4,0,0,0,0314893311,3,FE_2024_SeatMatrix.pdf,92,false,
2024-25,FE,03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi(Jain),Un-Aided  Linguistic Minority - Gujarathi(Jain),true,60,0314899510,Artificial Intelligence and Data Science,60,25,31,4,0,0,0,0314899511,3,FE_2024_SeatMatrix.pdf,93,false,
2024-25,FE,03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,24,0317625310,Internet of Things (IoT),30,8,15,1,6,0,0,0317625311,2,FE_2024_SeatMatrix.pdf,94,false,
2024-25,FE,03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,144,0317692110,Artificial Intelligence and Machine Learning,180,44,92,8,36,0,0,0317692111,9,FE_2024_SeatMatrix.pdf,95,false,
2024-25,FE,03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,144,0317699510,Artificial Intelligence and Data Science,180,44,92,8,36,0,0,0317699511,9,FE_2024_SeatMatrix.pdf,96,false,
2024-25,FE,03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,48,0317619110,Civil Engineering,60,14,31,3,12,0,0,0317619111,3,FE_2024_SeatMatrix.pdf,97,false,
2024-25,FE,03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,192,0317624510,Computer Engineering,240,59,122,11,48,0,0,0317624511,12,FE_2024_SeatMatrix.pdf,98,false,
2024-25,FE,03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,144,0317624610,Information Technology,180,44,92,8,36,0,0,0317624611,9,FE_2024_SeatMatrix.pdf,99,false,
2024-25,FE,03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,48,0317625910,Mechanical and Mechatronics Engineering (Additive,60,14,31,3,12,0,0,0317625911,3,FE_2024_SeatMatrix.pdf,100,false,
2024-25,FE,03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,96,0317637210,Electronics and Telecommunication Engg,120,30,61,5,24,0,0,0317637211,6,FE_2024_SeatMatrix.pdf,101,false,
2024-25,FE,03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,48,0317661210,Mechanical Engineering,60,14,31,3,12,0,0,0317661211,3,FE_2024_SeatMatrix.pdf,102,false,
